year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,7,MQ,SAV,66.0,13.0,3.08,0.93,2.16,0.0,6.83,0.0,1.0,628.0,205.0,55.0,80.0,0.0,288.0
2022,3,QX,LAS,73.0,26.0,9.21,0.83,12.21,0.0,3.75,0.0,0.0,1531.0,511.0,43.0,752.0,0.0,225.0
2014,1,OO,OMA,203.0,51.0,11.66,0.15,18.99,0.25,19.95,11.0,0.0,2407.0,633.0,17.0,688.0,4.0,1065.0
2022,8,F9,SAT,94.0,23.0,10.7,0.0,4.43,0.0,7.87,2.0,0.0,1532.0,675.0,0.0,266.0,0.0,591.0
2021,11,OO,EAU,59.0,7.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,509.0,144.0,0.0,0.0,0.0,365.0
2016,8,DL,ANC,341.0,67.0,29.18,1.33,15.91,0.0,20.58,0.0,0.0,4351.0,2249.0,117.0,466.0,0.0,1519.0
2023,6,OO,RST,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
2013,8,WN,PHL,575.0,200.0,65.02,17.86,47.03,0.0,70.09,1.0,0.0,11806.0,4151.0,1224.0,2454.0,0.0,3977.0
2014,9,OO,PDX,574.0,55.0,15.13,0.85,12.9,0.81,25.31,3.0,0.0,2983.0,1054.0,29.0,383.0,21.0,1496.0
2022,2,MQ,AUS,719.0,178.0,40.38,2.55,69.88,0.09,65.1,51.0,1.0,9904.0,2350.0,209.0,2901.0,16.0,4428.0
2021,6,OH,PIT,144.0,24.0,9.48,0.0,9.0,0.0,5.52,0.0,1.0,1111.0,548.0,0.0,230.0,0.0,333.0
2021,11,OH,BDL,162.0,44.0,11.07,0.73,9.13,0.0,23.07,0.0,0.0,2179.0,687.0,82.0,300.0,0.0,1110.0
2014,3,FL,DEN,60.0,27.0,12.09,0.0,11.55,0.0,3.37,0.0,1.0,890.0,339.0,0.0,367.0,0.0,184.0
2019,11,UA,CLE,485.0,77.0,18.65,2.88,17.28,0.0,38.19,3.0,2.0,3334.0,1022.0,101.0,503.0,0.0,1708.0
2018,6,AA,TUS,286.0,83.0,32.55,1.67,13.65,0.0,35.12,4.0,0.0,4518.0,1597.0,112.0,485.0,0.0,2324.0
2017,1,DL,HNL,283.0,80.0,25.54,5.27,28.72,0.0,20.47,1.0,0.0,6225.0,2974.0,588.0,1095.0,0.0,1568.0
2020,11,OO,ROW,56.0,7.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,225.0,201.0,24.0,0.0,0.0,0.0
2022,10,YX,EWR,2488.0,442.0,63.6,16.6,315.3,0.0,46.51,22.0,1.0,26033.0,4359.0,1316.0,16247.0,0.0,4111.0
2018,4,UA,GEG,82.0,10.0,1.96,0.49,2.35,0.0,5.19,0.0,0.0,598.0,134.0,20.0,71.0,0.0,373.0
2015,5,EV,MHT,130.0,18.0,4.71,1.29,6.58,0.0,5.42,1.0,0.0,835.0,288.0,40.0,208.0,0.0,299.0
2019,10,OH,MEM,31.0,3.0,0.04,0.36,2.23,0.0,0.37,0.0,0.0,81.0,1.0,10.0,60.0,0.0,10.0
2015,11,UA,BQN,30.0,14.0,5.58,0.0,5.49,0.0,2.93,0.0,0.0,615.0,163.0,0.0,230.0,0.0,222.0
2022,2,9E,ALB,75.0,8.0,3.59,0.0,0.4,0.0,4.01,8.0,0.0,500.0,230.0,0.0,32.0,0.0,238.0
2014,9,UA,ALB,60.0,19.0,7.81,0.58,3.5,0.0,7.11,3.0,0.0,1041.0,433.0,11.0,131.0,0.0,466.0
2021,2,DL,STL,154.0,24.0,11.79,0.99,9.28,0.0,1.94,0.0,0.0,2160.0,684.0,528.0,859.0,0.0,89.0
2018,12,YX,CID,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0
2016,6,WN,BNA,2747.0,718.0,209.21,20.65,123.64,1.92,362.59,24.0,9.0,41782.0,12290.0,1732.0,4812.0,68.0,22880.0
2015,9,UA,RNO,101.0,19.0,8.06,0.0,2.47,0.0,8.47,0.0,0.0,1013.0,472.0,0.0,65.0,0.0,476.0
2014,8,OO,JAC,151.0,44.0,15.94,3.11,11.5,0.0,13.45,2.0,0.0,1636.0,711.0,89.0,352.0,0.0,484.0
2018,11,EV,FSD,84.0,39.0,11.97,1.37,13.99,0.0,11.67,5.0,1.0,4259.0,2158.0,75.0,1211.0,0.0,815.0
2013,11,DL,SEA,780.0,88.0,28.06,0.63,45.39,0.0,13.92,0.0,2.0,3393.0,1532.0,22.0,1221.0,0.0,618.0
2021,6,HA,LAX,210.0,32.0,28.32,0.0,0.0,1.0,2.68,0.0,1.0,1091.0,981.0,0.0,0.0,15.0,95.0
2021,12,OH,PHL,1351.0,196.0,58.72,8.69,45.38,0.0,83.2,8.0,1.0,16962.0,5940.0,699.0,1454.0,0.0,8869.0
2013,12,YV,DFW,97.0,28.0,9.31,3.97,12.87,0.0,1.84,6.0,0.0,1341.0,575.0,190.0,459.0,0.0,117.0
2018,9,YX,CAE,55.0,4.0,0.68,0.0,1.98,0.0,1.33,6.0,0.0,287.0,13.0,0.0,52.0,0.0,222.0
2016,9,NK,LGA,330.0,72.0,0.0,0.88,70.17,0.0,0.95,4.0,1.0,3522.0,0.0,35.0,3365.0,0.0,122.0
2018,2,9E,CRW,79.0,6.0,2.0,1.0,2.03,0.0,0.97,0.0,2.0,430.0,135.0,152.0,48.0,0.0,95.0
2022,8,F9,LGA,93.0,35.0,12.18,1.43,16.91,0.0,4.48,4.0,1.0,2807.0,857.0,238.0,1325.0,0.0,387.0
2022,8,AS,LAS,413.0,87.0,23.36,1.51,40.93,0.0,21.2,3.0,1.0,4820.0,1240.0,91.0,2159.0,0.0,1330.0
2019,6,YV,CLT,177.0,56.0,24.0,4.0,8.0,0.0,20.0,2.0,0.0,5520.0,2280.0,539.0,246.0,0.0,2455.0
2020,7,B6,EWR,497.0,97.0,39.67,3.3,25.61,0.0,28.42,9.0,6.0,7541.0,3234.0,177.0,1522.0,0.0,2608.0
2013,8,YV,JAX,116.0,27.0,12.22,0.0,5.88,0.0,8.91,1.0,1.0,1474.0,512.0,0.0,214.0,0.0,748.0
2021,1,OH,CRW,80.0,11.0,3.23,0.58,4.56,0.0,2.63,2.0,0.0,647.0,258.0,38.0,126.0,0.0,225.0
2017,12,DL,TYS,103.0,7.0,2.13,0.62,1.38,0.0,2.87,8.0,0.0,352.0,71.0,120.0,95.0,0.0,66.0
2019,7,G4,OGD,9.0,2.0,0.31,0.0,0.45,0.0,1.24,0.0,0.0,53.0,8.0,0.0,12.0,0.0,33.0
2019,8,YV,PWM,68.0,31.0,12.0,1.0,6.0,0.0,12.0,3.0,0.0,4407.0,880.0,32.0,876.0,0.0,2619.0
2021,4,OH,OKC,63.0,10.0,1.17,0.0,8.28,0.0,0.56,0.0,0.0,349.0,68.0,0.0,262.0,0.0,19.0
2022,9,G4,SAN,38.0,14.0,3.28,0.0,8.26,0.0,2.46,0.0,0.0,819.0,293.0,0.0,383.0,0.0,143.0
2019,10,AA,FLL,484.0,130.0,42.14,1.44,45.32,0.0,41.1,3.0,1.0,6425.0,2206.0,243.0,1382.0,0.0,2594.0
2018,11,OO,LBF,53.0,4.0,0.9,0.0,1.94,0.0,1.16,2.0,0.0,282.0,146.0,0.0,65.0,0.0,71.0
2017,7,DL,ROC,124.0,26.0,13.46,1.03,5.62,0.0,5.89,0.0,0.0,1323.0,685.0,33.0,259.0,0.0,346.0
2016,5,OO,GSP,35.0,3.0,2.03,0.0,0.97,0.0,0.0,0.0,0.0,119.0,101.0,0.0,18.0,0.0,0.0
2015,8,EV,OKC,119.0,16.0,5.26,0.9,3.41,0.0,6.42,3.0,0.0,725.0,309.0,36.0,124.0,0.0,256.0
2022,4,F9,MSP,47.0,10.0,6.51,0.92,2.0,0.0,0.57,1.0,0.0,533.0,282.0,170.0,69.0,0.0,12.0
2022,8,AA,TYS,32.0,18.0,6.78,0.75,1.87,0.0,8.6,1.0,0.0,1623.0,903.0,80.0,87.0,0.0,553.0
